gene,role
FHIT,TSG
HSPA5,oncogene
HSPA4,oncogene
B2M,TSG
LIFR,TSG
ASS1,TSG
RITA1,TSG
ZNF703,oncogene
PIK3CA,oncogene
PIK3CB,oncogene
ZC3H10,TSG
NET1,oncogene
KDM2A,oncogene
IRX1,TSG
FOXQ1,oncogene
CBLB,both
SIRPA,TSG
NUP98,both
XPC,TSG
MUC1,oncogene
PPP2R2C,TSG
MUC4,oncogene
MEG3,TSG
MIR128-1,oncogene
WHSC1,oncogene
MAF,oncogene
CTBP2,oncogene
MAL,TSG
TSG101,TSG
ITGA3,oncogene
ITGA5,TSG
RIT1,oncogene
ITGA7,TSG
SWAP70,oncogene
PHLDA3,TSG
PHLDA2,TSG
XPO1,oncogene
XPO5,TSG
MTCP1,oncogene
FBXL13,TSG
KSR2,oncogene
H19,both
LIN28B,oncogene
LIN28A,oncogene
MMS22L,oncogene
ANAPC1,TSG
ZEB1,oncogene
RPS6KA2,TSG
RPS6KA6,TSG
BCL2A1,oncogene
PSMD10,oncogene
ITGAV,TSG
GSM1,oncogene
NR0B2,TSG
HLF,oncogene
NOV,both
FOXC1,TSG
ZNF292,TSG
GANAB,TSG
SMAD4,TSG
SMAD2,TSG
SMAD3,TSG
MUS81,TSG
FOXM1,oncogene
TMPRSS11A,TSG
IGF2R,TSG
ARF1,TSG
CKS1B,oncogene
SPARC,both
RNF111,TSG
IRF1,TSG
PRKAR1A,both
MIR410,TSG
NOL7,TSG
OLIG2,oncogene
MIR19B1,oncogene
MCF2L,oncogene
ADARB1,TSG
ATP1A1,both
CXXC4,TSG
CBLC,both
EEF1A1,both
EEF1A2,oncogene
CPEB3,TSG
ARL11,TSG
BIN1,TSG
IFT88,TSG
SLIT2,TSG
ETNK1,TSG
FIP1L1,oncogene
HOMER2,TSG
XPA,TSG
FOS,oncogene
CD44,TSG
RSF1,oncogene
FXN,TSG
FGFR1OP,oncogene
PHOX2A,TSG
PHOX2B,TSG
SASH1,TSG
TCL1B,oncogene
TCL1A,oncogene
RAB23,oncogene
RAB25,TSG
CALR,oncogene
CYB5A,TSG
PNN,TSG
EWSR1,oncogene
HDAC1,both
TRIM13,TSG
TRIM15,TSG
MCF2,oncogene
CDO1,TSG
MLLT1,oncogene
MIR490,TSG
MIR493,TSG
MIR495,TSG
MIR494,TSG
MIR497,TSG
SAG,oncogene
SIX1,oncogene
SIX2,oncogene
ESRP1,TSG
TYRP1,oncogene
LEFTY2,TSG
LEFTY1,TSG
RINT1,both
TBL2,TSG
RFC3,oncogene
KLK6,TSG
ZFP82,TSG
CHFR,TSG
MIR380,oncogene
MIR383,TSG
ELK3,oncogene
CDON,oncogene
ELK1,oncogene
LSAMP,TSG
MAX,TSG
APC,TSG
PAK7,oncogene
PAK1,oncogene
RECQL4,both
FOXP1,both
MIR944,oncogene
COPS2,TSG
COPS3,oncogene
SAA1,TSG
COPS5,oncogene
PFN1P3,oncogene
PANX2,TSG
MYCN,oncogene
MYCL,oncogene
TREX2,TSG
RPRM,TSG
MFSD2A,TSG
DMBT1,TSG
CAMTA1,TSG
TNS4,oncogene
IGF2,oncogene
TCF4,TSG
IGF1,TSG
TCF3,both
ARID2,TSG
IGFBP3,TSG
IGFBP7,TSG
IGFBP4,TSG
IGFBP5,TSG
NTHL1,TSG
GJA1,TSG
AZGP1,TSG
MEF2C,oncogene
TRIM8,oncogene
CREM,TSG
SHISA3,TSG
GAS1,TSG
TRIM3,TSG
KDM3A,TSG
GAS5,TSG
BTK,both
PDGFRB,oncogene
PDGFRA,oncogene
MFNG,oncogene
ZNF331,TSG
PDGFRL,TSG
CSMD3,TSG
CSMD1,TSG
MALAT1,both
LRRC3B,TSG
MLF1,TSG
CFLAR,oncogene
MECOM,oncogene
TPM3,TSG
IFI16,TSG
MIR181A2,TSG
MIR181A1,TSG
FBXW7,TSG
TGFBR3,TSG
TGFBR2,TSG
TRIO,oncogene
LETMD1,oncogene
SEA,oncogene
LARP4B,TSG
TET1,both
TET2,TSG
FOXL2,both
TMEM140,oncogene
CYP24A1,oncogene
MIR18B,TSG
TCP1,oncogene
DIDO1,TSG
FER1L4,TSG
TCEB3,TSG
AGRN,oncogene
PITX2,oncogene
SMARCA2,TSG
SMARCA4,TSG
MIR96,oncogene
MIR95,oncogene
MIR93,oncogene
AXIN1,TSG
CTCFL,TSG
FYN,oncogene
MIR98,TSG
MIR187,TSG
MIR186,TSG
STRADA,TSG
CDC5L,oncogene
MIR184,oncogene
RAC1,oncogene
SBDS,TSG
NINJ1,TSG
FCGR2B,oncogene
SKIL,both
PBX2,oncogene
PBX1,oncogene
DPH1,TSG
MAGEA11,oncogene
SCGB3A1,TSG
BCKDHB,oncogene
PTCH2,both
PTCH1,both
SND1,oncogene
MIR142,TSG
ERGIC1,oncogene
MIR15A,TSG
MIR520B,TSG
TOPORS,TSG
DCN,TSG
IGF2BP2,TSG
DCD,oncogene
DNMT1,both
CACNA1D,oncogene
DCC,TSG
FAM46C,TSG
GLO1,oncogene
MIR196A1,oncogene
CUL7,oncogene
CUL1,TSG
CUL2,TSG
CUL3,TSG
FLCN,TSG
PLK2,TSG
